Scenario,Region,Variable,Year,Electricity generation,Electricity capacity
Canada Net-zero,Alberta,Biomass / Geothermal,2020,1784.73,285.65
Current Measures,Alberta,Biomass / Geothermal,2020,1784.73,285.65
Global Net-zero,Alberta,Biomass / Geothermal,2020,1784.73,285.65
Canada Net-zero,Alberta,Coal & Coke,2020,28140.71,4719
Current Measures,Alberta,Coal & Coke,2020,28140.71,4719
Global Net-zero,Alberta,Coal & Coke,2020,28140.71,4719
Canada Net-zero,Alberta,Hydro / Wave / Tidal,2020,2431.07,894.35
Current Measures,Alberta,Hydro / Wave / Tidal,2020,2431.07,894.35
Global Net-zero,Alberta,Hydro / Wave / Tidal,2020,2431.07,894.35
Canada Net-zero,Alberta,Natural Gas,2020,41400.15,9566.48
Current Measures,Alberta,Natural Gas,2020,41400.15,9566.48
Global Net-zero,Alberta,Natural Gas,2020,41400.15,9566.48
Canada Net-zero,Alberta,Oil,2020,15.66,7.15
Current Measures,Alberta,Oil,2020,15.66,7.15
Global Net-zero,Alberta,Oil,2020,15.66,7.15
Canada Net-zero,Alberta,Solar,2020,178.12,71
Current Measures,Alberta,Solar,2020,178.12,71
Global Net-zero,Alberta,Solar,2020,178.12,71
Canada Net-zero,Alberta,Uranium,2020,0,0
Global Net-zero,Alberta,Uranium,2020,0,0
Canada Net-zero,Alberta,Wind,2020,5452.61,1528.56
Current Measures,Alberta,Wind,2020,5452.61,1528.56
Global Net-zero,Alberta,Wind,2020,5452.61,1528.56
Canada Net-zero,British Columbia,Biomass / Geothermal,2020,3935.2,979.05
Current Measures,British Columbia,Biomass / Geothermal,2020,3935.2,979.05
Global Net-zero,British Columbia,Biomass / Geothermal,2020,3935.2,979.05
Canada Net-zero,British Columbia,Hydro / Wave / Tidal,2020,63813.67,15953.47
Current Measures,British Columbia,Hydro / Wave / Tidal,2020,63813.67,15953.47
Global Net-zero,British Columbia,Hydro / Wave / Tidal,2020,63813.67,15953.47
Canada Net-zero,British Columbia,Natural Gas,2020,1171.4,539.73
Current Measures,British Columbia,Natural Gas,2020,1171.4,539.73
Global Net-zero,British Columbia,Natural Gas,2020,1171.4,539.73
Canada Net-zero,British Columbia,Oil,2020,74.24,36.46
Current Measures,British Columbia,Oil,2020,74.24,36.46
Global Net-zero,British Columbia,Oil,2020,74.24,36.46
Canada Net-zero,British Columbia,Solar,2020,26.84,303.28
Current Measures,British Columbia,Solar,2020,26.84,303.28
Global Net-zero,British Columbia,Solar,2020,26.84,303.28
Canada Net-zero,British Columbia,Uranium,2020,0,0
Global Net-zero,British Columbia,Uranium,2020,0,0
Canada Net-zero,British Columbia,Wind,2020,3008.28,702.25
Current Measures,British Columbia,Wind,2020,3008.28,702.25
Global Net-zero,British Columbia,Wind,2020,3008.28,702.25
Canada Net-zero,Manitoba,Biomass / Geothermal,2020,79.9,22
Current Measures,Manitoba,Biomass / Geothermal,2020,79.9,22
Global Net-zero,Manitoba,Biomass / Geothermal,2020,79.9,22
Canada Net-zero,Manitoba,Hydro / Wave / Tidal,2020,36141.96,5372.69
Current Measures,Manitoba,Hydro / Wave / Tidal,2020,36141.96,5372.69
Global Net-zero,Manitoba,Hydro / Wave / Tidal,2020,36141.96,5372.69
Canada Net-zero,Manitoba,Natural Gas,2020,20.93,402.61
Current Measures,Manitoba,Natural Gas,2020,20.93,402.61
Global Net-zero,Manitoba,Natural Gas,2020,20.93,402.61
Canada Net-zero,Manitoba,Oil,2020,16.41,37.31
Current Measures,Manitoba,Oil,2020,16.41,37.31
Global Net-zero,Manitoba,Oil,2020,16.41,37.31
Canada Net-zero,Manitoba,Solar,2020,8.35,6
Current Measures,Manitoba,Solar,2020,8.35,6
Global Net-zero,Manitoba,Solar,2020,8.35,6
Canada Net-zero,Manitoba,Uranium,2020,0,0
Global Net-zero,Manitoba,Uranium,2020,0,0
Canada Net-zero,Manitoba,Wind,2020,938.85,258.65
Current Measures,Manitoba,Wind,2020,938.85,258.65
Global Net-zero,Manitoba,Wind,2020,938.85,258.65
Canada Net-zero,New Brunswick,Biomass / Geothermal,2020,561.55,79.2
Current Measures,New Brunswick,Biomass / Geothermal,2020,561.55,79.2
Global Net-zero,New Brunswick,Biomass / Geothermal,2020,561.55,79.2
Canada Net-zero,New Brunswick,Coal & Coke,2020,1171.18,541
Current Measures,New Brunswick,Coal & Coke,2020,1171.18,541
Global Net-zero,New Brunswick,Coal & Coke,2020,1171.18,541
Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,2020,2571.99,960.98
Current Measures,New Brunswick,Hydro / Wave / Tidal,2020,2571.99,960.98
Global Net-zero,New Brunswick,Hydro / Wave / Tidal,2020,2571.99,960.98
Canada Net-zero,New Brunswick,Natural Gas,2020,1347.39,550
Current Measures,New Brunswick,Natural Gas,2020,1347.39,550
Global Net-zero,New Brunswick,Natural Gas,2020,1347.39,550
Canada Net-zero,New Brunswick,Oil,2020,40.71,1593.04
Current Measures,New Brunswick,Oil,2020,40.71,1593.04
Global Net-zero,New Brunswick,Oil,2020,40.71,1593.04
Canada Net-zero,New Brunswick,Solar,2020,1.65,0.16
Current Measures,New Brunswick,Solar,2020,1.65,0.16
Global Net-zero,New Brunswick,Solar,2020,1.65,0.16
Canada Net-zero,New Brunswick,Uranium,2020,4800.48,705
Current Measures,New Brunswick,Uranium,2020,4800.48,705
Global Net-zero,New Brunswick,Uranium,2020,4800.48,705
Canada Net-zero,New Brunswick,Wind,2020,903.02,294
Current Measures,New Brunswick,Wind,2020,903.02,294
Global Net-zero,New Brunswick,Wind,2020,903.02,294
Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2020,38146.83,6783.06
Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,2020,38146.83,6783.06
Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2020,38146.83,6783.06
Canada Net-zero,Newfoundland and Labrador,Natural Gas,2020,250.41,251.5
Current Measures,Newfoundland and Labrador,Natural Gas,2020,250.41,251.5
Global Net-zero,Newfoundland and Labrador,Natural Gas,2020,250.41,251.5
Canada Net-zero,Newfoundland and Labrador,Oil,2020,868.53,769.55
Current Measures,Newfoundland and Labrador,Oil,2020,868.53,769.55
Global Net-zero,Newfoundland and Labrador,Oil,2020,868.53,769.55
Canada Net-zero,Newfoundland and Labrador,Solar,2020,1.17,0.02
Current Measures,Newfoundland and Labrador,Solar,2020,1.17,0.02
Global Net-zero,Newfoundland and Labrador,Solar,2020,1.17,0.02
Canada Net-zero,Newfoundland and Labrador,Wind,2020,194.5,54.3
Current Measures,Newfoundland and Labrador,Wind,2020,194.5,54.3
Global Net-zero,Newfoundland and Labrador,Wind,2020,194.5,54.3
Canada Net-zero,Nova Scotia,Biomass / Geothermal,2020,259.33,112.56
Current Measures,Nova Scotia,Biomass / Geothermal,2020,259.33,112.56
Global Net-zero,Nova Scotia,Biomass / Geothermal,2020,259.33,112.56
Canada Net-zero,Nova Scotia,Coal & Coke,2020,4432.64,1133
Current Measures,Nova Scotia,Coal & Coke,2020,4432.64,1133
Global Net-zero,Nova Scotia,Coal & Coke,2020,4432.64,1133
Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,2020,756.14,389.35
Current Measures,Nova Scotia,Hydro / Wave / Tidal,2020,756.14,389.35
Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,2020,756.14,389.35
Canada Net-zero,Nova Scotia,Natural Gas,2020,1663.49,378
Current Measures,Nova Scotia,Natural Gas,2020,1663.49,378
Global Net-zero,Nova Scotia,Natural Gas,2020,1663.49,378
Canada Net-zero,Nova Scotia,Oil,2020,35,222.3
Current Measures,Nova Scotia,Oil,2020,35,222.3
Global Net-zero,Nova Scotia,Oil,2020,35,222.3
Canada Net-zero,Nova Scotia,Solar,2020,1.87,0.37
Current Measures,Nova Scotia,Solar,2020,1.87,0.37
Global Net-zero,Nova Scotia,Solar,2020,1.87,0.37
Canada Net-zero,Nova Scotia,Wind,2020,925.45,603.18
Current Measures,Nova Scotia,Wind,2020,925.45,603.18
Global Net-zero,Nova Scotia,Wind,2020,925.45,603.18
Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,2020,247.64,55.48
Current Measures,Northwest Territories,Hydro / Wave / Tidal,2020,247.64,55.48
Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,2020,247.64,55.48
Canada Net-zero,Northwest Territories,Natural Gas,2020,80.18,7.8
Current Measures,Northwest Territories,Natural Gas,2020,80.18,7.8
Global Net-zero,Northwest Territories,Natural Gas,2020,80.18,7.8
Canada Net-zero,Northwest Territories,Oil,2020,35.09,159
Current Measures,Northwest Territories,Oil,2020,35.09,159
Global Net-zero,Northwest Territories,Oil,2020,35.09,159
Canada Net-zero,Northwest Territories,Solar,2020,1.78,2.02
Current Measures,Northwest Territories,Solar,2020,1.78,2.02
Global Net-zero,Northwest Territories,Solar,2020,1.78,2.02
Canada Net-zero,Northwest Territories,Wind,2020,16.74,9.2
Current Measures,Northwest Territories,Wind,2020,16.74,9.2
Global Net-zero,Northwest Territories,Wind,2020,16.74,9.2
Current Measures,Nunavut,Biomass / Geothermal,2020,0,0
Canada Net-zero,Nunavut,Oil,2020,250.03,62.28
Current Measures,Nunavut,Oil,2020,250.03,62.28
Global Net-zero,Nunavut,Oil,2020,250.03,62.28
Canada Net-zero,Nunavut,Solar,2020,0.56,0.03
Current Measures,Nunavut,Solar,2020,0.56,0.03
Global Net-zero,Nunavut,Solar,2020,0.56,0.03
Canada Net-zero,Nunavut,Wind,2020,0,0
Current Measures,Nunavut,Wind,2020,0,0
Global Net-zero,Nunavut,Wind,2020,0,0
Canada Net-zero,Ontario,Biomass / Geothermal,2020,1100,698.62
Current Measures,Ontario,Biomass / Geothermal,2020,1100,698.62
Global Net-zero,Ontario,Biomass / Geothermal,2020,1100,698.62
Canada Net-zero,Ontario,Hydro / Wave / Tidal,2020,39004.98,9263.68
Current Measures,Ontario,Hydro / Wave / Tidal,2020,39004.98,9263.68
Global Net-zero,Ontario,Hydro / Wave / Tidal,2020,39004.98,9263.68
Canada Net-zero,Ontario,Natural Gas,2020,11039.36,8746.41
Current Measures,Ontario,Natural Gas,2020,11039.36,8746.41
Global Net-zero,Ontario,Natural Gas,2020,11039.36,8746.41
Canada Net-zero,Ontario,Oil,2020,85.07,250.45
Current Measures,Ontario,Oil,2020,85.07,250.45
Global Net-zero,Ontario,Oil,2020,85.07,250.45
Canada Net-zero,Ontario,Solar,2020,5636.2,2669.46
Current Measures,Ontario,Solar,2020,5636.2,2669.46
Global Net-zero,Ontario,Solar,2020,5636.2,2669.46
Canada Net-zero,Ontario,Uranium,2020,87845.33,14140
Current Measures,Ontario,Uranium,2020,87845.33,14140
Global Net-zero,Ontario,Uranium,2020,87845.33,14140
Canada Net-zero,Ontario,Wind,2020,13168.8,5415.45
Current Measures,Ontario,Wind,2020,13168.8,5415.45
Global Net-zero,Ontario,Wind,2020,13168.8,5415.45
Canada Net-zero,Prince Edward Island,Biomass / Geothermal,2020,1.51,2.1
Current Measures,Prince Edward Island,Biomass / Geothermal,2020,1.51,2.1
Global Net-zero,Prince Edward Island,Biomass / Geothermal,2020,1.51,2.1
Canada Net-zero,Prince Edward Island,Oil,2020,4.54,170.45
Current Measures,Prince Edward Island,Oil,2020,4.54,170.45
Global Net-zero,Prince Edward Island,Oil,2020,4.54,170.45
Canada Net-zero,Prince Edward Island,Solar,2020,0.68,0
Current Measures,Prince Edward Island,Solar,2020,0.68,0
Global Net-zero,Prince Edward Island,Solar,2020,0.68,0
Canada Net-zero,Prince Edward Island,Uranium,2020,0,0
Global Net-zero,Prince Edward Island,Uranium,2020,0,0
Canada Net-zero,Prince Edward Island,Wind,2020,700.34,208.28
Current Measures,Prince Edward Island,Wind,2020,700.34,208.28
Global Net-zero,Prince Edward Island,Wind,2020,700.34,208.28
Canada Net-zero,Quebec,Biomass / Geothermal,2020,1309.41,307.14
Current Measures,Quebec,Biomass / Geothermal,2020,1309.41,307.14
Global Net-zero,Quebec,Biomass / Geothermal,2020,1309.41,307.14
Canada Net-zero,Quebec,Hydro / Wave / Tidal,2020,194227.42,41086.87
Current Measures,Quebec,Hydro / Wave / Tidal,2020,194227.42,41086.87
Global Net-zero,Quebec,Hydro / Wave / Tidal,2020,194227.42,41086.87
Canada Net-zero,Quebec,Natural Gas,2020,86.55,591.05
Current Measures,Quebec,Natural Gas,2020,86.55,591.05
Global Net-zero,Quebec,Natural Gas,2020,86.55,591.05
Canada Net-zero,Quebec,Oil,2020,556.76,311.04
Current Measures,Quebec,Oil,2020,556.76,311.04
Global Net-zero,Quebec,Oil,2020,556.76,311.04
Canada Net-zero,Quebec,Solar,2020,30.53,0.3
Current Measures,Quebec,Solar,2020,30.53,0.3
Global Net-zero,Quebec,Solar,2020,30.53,0.3
Canada Net-zero,Quebec,Uranium,2020,0,0
Global Net-zero,Quebec,Uranium,2020,0,0
Canada Net-zero,Quebec,Wind,2020,11322.93,4362.57
Current Measures,Quebec,Wind,2020,11322.93,4362.57
Global Net-zero,Quebec,Wind,2020,11322.93,4362.57
Canada Net-zero,Saskatchewan,Biomass / Geothermal,2020,109.25,36
Current Measures,Saskatchewan,Biomass / Geothermal,2020,109.25,36
Global Net-zero,Saskatchewan,Biomass / Geothermal,2020,109.25,36
Canada Net-zero,Saskatchewan,Coal & Coke,2020,8169.14,1535
Current Measures,Saskatchewan,Coal & Coke,2020,8169.14,1535
Global Net-zero,Saskatchewan,Coal & Coke,2020,8169.14,1535
Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,2020,3389.17,889.06
Current Measures,Saskatchewan,Hydro / Wave / Tidal,2020,3389.17,889.06
Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,2020,3389.17,889.06
Canada Net-zero,Saskatchewan,Natural Gas,2020,10914.03,1839.95
Current Measures,Saskatchewan,Natural Gas,2020,10914.03,1839.95
Global Net-zero,Saskatchewan,Natural Gas,2020,10914.03,1839.95
Canada Net-zero,Saskatchewan,Oil,2020,1.02,16.96
Current Measures,Saskatchewan,Oil,2020,1.02,16.96
Global Net-zero,Saskatchewan,Oil,2020,1.02,16.96
Canada Net-zero,Saskatchewan,Solar,2020,32.03,64
Current Measures,Saskatchewan,Solar,2020,32.03,64
Global Net-zero,Saskatchewan,Solar,2020,32.03,64
Canada Net-zero,Saskatchewan,Uranium,2020,0,0
Global Net-zero,Saskatchewan,Uranium,2020,0,0
Canada Net-zero,Saskatchewan,Wind,2020,821.47,221.18
Current Measures,Saskatchewan,Wind,2020,821.47,221.18
Global Net-zero,Saskatchewan,Wind,2020,821.47,221.18
Canada Net-zero,Yukon,Biomass / Geothermal,2020,0.24,0.5
Current Measures,Yukon,Biomass / Geothermal,2020,0.24,0.5
Global Net-zero,Yukon,Biomass / Geothermal,2020,0.24,0.5
Canada Net-zero,Yukon,Hydro / Wave / Tidal,2020,438.41,94.5
Current Measures,Yukon,Hydro / Wave / Tidal,2020,438.41,94.5
Global Net-zero,Yukon,Hydro / Wave / Tidal,2020,438.41,94.5
Canada Net-zero,Yukon,Natural Gas,2020,63.62,19.8
Current Measures,Yukon,Natural Gas,2020,63.62,19.8
Global Net-zero,Yukon,Natural Gas,2020,63.62,19.8
Canada Net-zero,Yukon,Oil,2020,75.33,24.57
Current Measures,Yukon,Oil,2020,75.33,24.57
Global Net-zero,Yukon,Oil,2020,75.33,24.57
Canada Net-zero,Yukon,Solar,2020,0.12,0.04
Current Measures,Yukon,Solar,2020,0.12,0.04
Global Net-zero,Yukon,Solar,2020,0.12,0.04
Canada Net-zero,Yukon,Wind,2020,1.08,0.81
Current Measures,Yukon,Wind,2020,1.08,0.81
Global Net-zero,Yukon,Wind,2020,1.08,0.81
Canada Net-zero,Alberta,Biomass / Geothermal,2021,1793.58,285.65
Current Measures,Alberta,Biomass / Geothermal,2021,1793.58,285.65
Global Net-zero,Alberta,Biomass / Geothermal,2021,1793.58,285.65
Canada Net-zero,Alberta,Coal & Coke,2021,16216.2,3337
Current Measures,Alberta,Coal & Coke,2021,16216.2,3337.15
Global Net-zero,Alberta,Coal & Coke,2021,16216.2,3337.15
Canada Net-zero,Alberta,Hydro / Wave / Tidal,2021,2151.07,894.35
Current Measures,Alberta,Hydro / Wave / Tidal,2021,2151.07,894.35
Global Net-zero,Alberta,Hydro / Wave / Tidal,2021,2151.07,894.35
Canada Net-zero,Alberta,Natural Gas,2021,46519.47,9666.48
Current Measures,Alberta,Natural Gas,2021,46519.47,9666.48
Global Net-zero,Alberta,Natural Gas,2021,46519.47,9666.48
Canada Net-zero,Alberta,Oil,2021,15.66,7.15
Current Measures,Alberta,Oil,2021,15.66,7.15
Global Net-zero,Alberta,Oil,2021,15.66,7.15
Canada Net-zero,Alberta,Solar,2021,405.88,305
Current Measures,Alberta,Solar,2021,405.88,305
Global Net-zero,Alberta,Solar,2021,405.88,305
Canada Net-zero,Alberta,Uranium,2021,0,0
Global Net-zero,Alberta,Uranium,2021,0,0
Canada Net-zero,Alberta,Wind,2021,6800.61,1528.56
Current Measures,Alberta,Wind,2021,6800.61,1528.56
Global Net-zero,Alberta,Wind,2021,6800.61,1528.56
Canada Net-zero,British Columbia,Biomass / Geothermal,2021,4057.95,979.05
Current Measures,British Columbia,Biomass / Geothermal,2021,4057.95,979.05
Global Net-zero,British Columbia,Biomass / Geothermal,2021,4057.95,979.05
Canada Net-zero,British Columbia,Hydro / Wave / Tidal,2021,63800.59,15953.47
Current Measures,British Columbia,Hydro / Wave / Tidal,2021,63800.59,15953.47
Global Net-zero,British Columbia,Hydro / Wave / Tidal,2021,63800.59,15953.47
Canada Net-zero,British Columbia,Natural Gas,2021,1695.12,539.73
Current Measures,British Columbia,Natural Gas,2021,1695.12,539.73
Global Net-zero,British Columbia,Natural Gas,2021,1695.12,539.73
Canada Net-zero,British Columbia,Oil,2021,72.37,36.46
Current Measures,British Columbia,Oil,2021,72.37,36.46
Global Net-zero,British Columbia,Oil,2021,72.37,36.46
Canada Net-zero,British Columbia,Solar,2021,29.84,303.28
Current Measures,British Columbia,Solar,2021,29.84,303.28
Global Net-zero,British Columbia,Solar,2021,29.84,303.28
Canada Net-zero,British Columbia,Uranium,2021,0,0
Global Net-zero,British Columbia,Uranium,2021,0,0
Canada Net-zero,British Columbia,Wind,2021,2008.28,702.25
Current Measures,British Columbia,Wind,2021,2008.28,702.25
Global Net-zero,British Columbia,Wind,2021,2008.28,702.25
Canada Net-zero,Manitoba,Biomass / Geothermal,2021,80.9,22
Current Measures,Manitoba,Biomass / Geothermal,2021,80.9,22
Global Net-zero,Manitoba,Biomass / Geothermal,2021,80.9,22
Canada Net-zero,Manitoba,Hydro / Wave / Tidal,2021,28860.21,5472.69
Current Measures,Manitoba,Hydro / Wave / Tidal,2021,28860.21,5472.69
Global Net-zero,Manitoba,Hydro / Wave / Tidal,2021,28860.21,5472.69
Canada Net-zero,Manitoba,Natural Gas,2021,46.3,402.61
Current Measures,Manitoba,Natural Gas,2021,46.3,402.61
Global Net-zero,Manitoba,Natural Gas,2021,46.3,402.61
Canada Net-zero,Manitoba,Oil,2021,16.87,37.31
Current Measures,Manitoba,Oil,2021,16.87,37.31
Global Net-zero,Manitoba,Oil,2021,16.87,37.31
Canada Net-zero,Manitoba,Solar,2021,10.35,6
Current Measures,Manitoba,Solar,2021,10.35,6
Global Net-zero,Manitoba,Solar,2021,10.35,6
Canada Net-zero,Manitoba,Uranium,2021,0,0
Global Net-zero,Manitoba,Uranium,2021,0,0
Canada Net-zero,Manitoba,Wind,2021,948.99,258.65
Current Measures,Manitoba,Wind,2021,948.99,258.65
Global Net-zero,Manitoba,Wind,2021,948.99,258.65
Canada Net-zero,New Brunswick,Biomass / Geothermal,2021,587.92,79.2
Current Measures,New Brunswick,Biomass / Geothermal,2021,587.92,79.2
Global Net-zero,New Brunswick,Biomass / Geothermal,2021,587.92,79.2
Canada Net-zero,New Brunswick,Coal & Coke,2021,1470.46,541
Current Measures,New Brunswick,Coal & Coke,2021,1470.46,541
Global Net-zero,New Brunswick,Coal & Coke,2021,1470.46,541
Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,2021,2622.06,960.98
Current Measures,New Brunswick,Hydro / Wave / Tidal,2021,2622.06,960.98
Global Net-zero,New Brunswick,Hydro / Wave / Tidal,2021,2622.06,960.98
Canada Net-zero,New Brunswick,Natural Gas,2021,1580.22,550
Current Measures,New Brunswick,Natural Gas,2021,1580.22,550
Global Net-zero,New Brunswick,Natural Gas,2021,1580.22,550
Canada Net-zero,New Brunswick,Oil,2021,40.39,1593.04
Current Measures,New Brunswick,Oil,2021,40.39,1593.04
Global Net-zero,New Brunswick,Oil,2021,40.39,1593.04
Canada Net-zero,New Brunswick,Solar,2021,1.65,0.16
Current Measures,New Brunswick,Solar,2021,1.65,0.16
Global Net-zero,New Brunswick,Solar,2021,1.65,0.16
Canada Net-zero,New Brunswick,Uranium,2021,4613.24,705
Current Measures,New Brunswick,Uranium,2021,4613.24,705
Global Net-zero,New Brunswick,Uranium,2021,4613.24,705
Canada Net-zero,New Brunswick,Wind,2021,710.02,294
Current Measures,New Brunswick,Wind,2021,710.02,294
Global Net-zero,New Brunswick,Wind,2021,710.02,294
Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2021,40848.06,7607.06
Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,2021,40848.06,7607.06
Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2021,40848.06,7607.06
Canada Net-zero,Newfoundland and Labrador,Natural Gas,2021,264.08,251.5
Current Measures,Newfoundland and Labrador,Natural Gas,2021,264.08,251.5
Global Net-zero,Newfoundland and Labrador,Natural Gas,2021,264.08,251.5
Canada Net-zero,Newfoundland and Labrador,Oil,2021,668.53,769.55
Current Measures,Newfoundland and Labrador,Oil,2021,668.53,769.55
Global Net-zero,Newfoundland and Labrador,Oil,2021,668.53,769.55
Canada Net-zero,Newfoundland and Labrador,Solar,2021,1.17,0.02
Current Measures,Newfoundland and Labrador,Solar,2021,1.17,0.02
Global Net-zero,Newfoundland and Labrador,Solar,2021,1.17,0.02
Canada Net-zero,Newfoundland and Labrador,Wind,2021,160.5,54.3
Current Measures,Newfoundland and Labrador,Wind,2021,160.5,54.3
Global Net-zero,Newfoundland and Labrador,Wind,2021,160.5,54.3
Canada Net-zero,Nova Scotia,Biomass / Geothermal,2021,330.05,112.56
Current Measures,Nova Scotia,Biomass / Geothermal,2021,330.05,112.56
Global Net-zero,Nova Scotia,Biomass / Geothermal,2021,330.05,112.56
Canada Net-zero,Nova Scotia,Coal & Coke,2021,4621.24,1133
Current Measures,Nova Scotia,Coal & Coke,2021,4621.24,1133
Global Net-zero,Nova Scotia,Coal & Coke,2021,4621.24,1133
Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,2021,780.01,389.35
Current Measures,Nova Scotia,Hydro / Wave / Tidal,2021,780.01,389.35
Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,2021,780.01,389.35
Canada Net-zero,Nova Scotia,Natural Gas,2021,1558.87,378
Current Measures,Nova Scotia,Natural Gas,2021,1558.87,378
Global Net-zero,Nova Scotia,Natural Gas,2021,1558.87,378
Canada Net-zero,Nova Scotia,Oil,2021,36,222.3
Current Measures,Nova Scotia,Oil,2021,36,222.3
Global Net-zero,Nova Scotia,Oil,2021,36,222.3
Canada Net-zero,Nova Scotia,Solar,2021,1.87,0.37
Current Measures,Nova Scotia,Solar,2021,1.87,0.37
Global Net-zero,Nova Scotia,Solar,2021,1.87,0.37
Canada Net-zero,Nova Scotia,Wind,2021,1137.45,603.18
Current Measures,Nova Scotia,Wind,2021,1137.45,603.18
Global Net-zero,Nova Scotia,Wind,2021,1137.45,603.18
Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,2021,247.37,55.48
Current Measures,Northwest Territories,Hydro / Wave / Tidal,2021,247.37,55.48
Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,2021,247.37,55.48
Canada Net-zero,Northwest Territories,Natural Gas,2021,86.9,7.8
Current Measures,Northwest Territories,Natural Gas,2021,86.9,7.8
Global Net-zero,Northwest Territories,Natural Gas,2021,86.9,7.8
Canada Net-zero,Northwest Territories,Oil,2021,34.9,159
Current Measures,Northwest Territories,Oil,2021,34.9,159
Global Net-zero,Northwest Territories,Oil,2021,34.9,159
Canada Net-zero,Northwest Territories,Solar,2021,1.87,2.02
Current Measures,Northwest Territories,Solar,2021,1.82,2.02
Global Net-zero,Northwest Territories,Solar,2021,1.87,2.02
Canada Net-zero,Northwest Territories,Wind,2021,17.74,9.2
Current Measures,Northwest Territories,Wind,2021,17.74,9.2
Global Net-zero,Northwest Territories,Wind,2021,17.74,9.2
Current Measures,Nunavut,Biomass / Geothermal,2021,0,0
Canada Net-zero,Nunavut,Oil,2021,278.39,62.28
Current Measures,Nunavut,Oil,2021,278.39,62.28
Global Net-zero,Nunavut,Oil,2021,278.39,62.28
Canada Net-zero,Nunavut,Solar,2021,0.57,0.03
Current Measures,Nunavut,Solar,2021,0.53,0.03
Global Net-zero,Nunavut,Solar,2021,0.57,0.03
Canada Net-zero,Nunavut,Wind,2021,0,0
Current Measures,Nunavut,Wind,2021,0,0
Global Net-zero,Nunavut,Wind,2021,0,0
Canada Net-zero,Ontario,Biomass / Geothermal,2021,1194.88,698.62
Current Measures,Ontario,Biomass / Geothermal,2021,1194.88,698.62
Global Net-zero,Ontario,Biomass / Geothermal,2021,1194.88,698.62
Canada Net-zero,Ontario,Hydro / Wave / Tidal,2021,35232.74,9263.68
Current Measures,Ontario,Hydro / Wave / Tidal,2021,35232.74,9263.68
Global Net-zero,Ontario,Hydro / Wave / Tidal,2021,35232.74,9263.68
Canada Net-zero,Ontario,Natural Gas,2021,11386.09,8730.91
Current Measures,Ontario,Natural Gas,2021,11386.09,8730.91
Global Net-zero,Ontario,Natural Gas,2021,11386.09,8730.91
Canada Net-zero,Ontario,Oil,2021,93.36,250.45
Current Measures,Ontario,Oil,2021,93.36,250.45
Global Net-zero,Ontario,Oil,2021,93.36,250.45
Canada Net-zero,Ontario,Solar,2021,5726.06,2669.46
Current Measures,Ontario,Solar,2021,5726.06,2669.46
Global Net-zero,Ontario,Solar,2021,5726.06,2669.46
Canada Net-zero,Ontario,Uranium,2021,82281.39,12380
Current Measures,Ontario,Uranium,2021,82281.39,12380
Global Net-zero,Ontario,Uranium,2021,82281.39,12380
Canada Net-zero,Ontario,Wind,2021,12419.58,5575.45
Current Measures,Ontario,Wind,2021,12419.58,5575.45
Global Net-zero,Ontario,Wind,2021,12419.58,5575.45
Canada Net-zero,Prince Edward Island,Biomass / Geothermal,2021,2.19,2.1
Current Measures,Prince Edward Island,Biomass / Geothermal,2021,2.19,2.1
Global Net-zero,Prince Edward Island,Biomass / Geothermal,2021,2.19,2.1
Canada Net-zero,Prince Edward Island,Oil,2021,4.54,170.45
Current Measures,Prince Edward Island,Oil,2021,4.54,170.45
Global Net-zero,Prince Edward Island,Oil,2021,4.54,170.45
Canada Net-zero,Prince Edward Island,Solar,2021,0.68,0
Current Measures,Prince Edward Island,Solar,2021,0.68,0
Global Net-zero,Prince Edward Island,Solar,2021,0.68,0
Canada Net-zero,Prince Edward Island,Uranium,2021,0,0
Global Net-zero,Prince Edward Island,Uranium,2021,0,0
