"Figure ES.3: Electricity use by sector, Global Net-zero Scenario",,,
Sector,Year,Data,Unit
Residential,2010,159.51,Terawatt hours (TWh)
Residential,2011,164.27,Terawatt hours (TWh)
Residential,2012,163.71,Terawatt hours (TWh)
Residential,2013,169.82,Terawatt hours (TWh)
Residential,2014,174.15,Terawatt hours (TWh)
Residential,2015,170.36,Terawatt hours (TWh)
Residential,2016,166.26,Terawatt hours (TWh)
Residential,2017,167.54,Terawatt hours (TWh)
Residential,2018,172.28,Terawatt hours (TWh)
Residential,2019,171.65,Terawatt hours (TWh)
Residential,2020,176.88,Terawatt hours (TWh)
Residential,2021,170.60,Terawatt hours (TWh)
Residential,2022,181.10,Terawatt hours (TWh)
Residential,2023,186.59,Terawatt hours (TWh)
Residential,2024,190.04,Terawatt hours (TWh)
Residential,2025,193.28,Terawatt hours (TWh)
Residential,2026,196.03,Terawatt hours (TWh)
Residential,2027,198.48,Terawatt hours (TWh)
Residential,2028,200.76,Terawatt hours (TWh)
Residential,2029,202.78,Terawatt hours (TWh)
Residential,2030,204.54,Terawatt hours (TWh)
Residential,2031,206.77,Terawatt hours (TWh)
Residential,2032,209.13,Terawatt hours (TWh)
Residential,2033,211.57,Terawatt hours (TWh)
Residential,2034,214.03,Terawatt hours (TWh)
Residential,2035,216.46,Terawatt hours (TWh)
Residential,2036,218.83,Terawatt hours (TWh)
Residential,2037,221.13,Terawatt hours (TWh)
Residential,2038,223.29,Terawatt hours (TWh)
Residential,2039,225.32,Terawatt hours (TWh)
Residential,2040,227.19,Terawatt hours (TWh)
Residential,2041,228.98,Terawatt hours (TWh)
Residential,2042,230.62,Terawatt hours (TWh)
Residential,2043,232.16,Terawatt hours (TWh)
Residential,2044,233.58,Terawatt hours (TWh)
Residential,2045,234.92,Terawatt hours (TWh)
Residential,2046,236.12,Terawatt hours (TWh)
Residential,2047,237.25,Terawatt hours (TWh)
Residential,2048,238.37,Terawatt hours (TWh)
Residential,2049,239.41,Terawatt hours (TWh)
Residential,2050,240.36,Terawatt hours (TWh)
Commercial,2010,126.24,Terawatt hours (TWh)
Commercial,2011,130.43,Terawatt hours (TWh)
Commercial,2012,128.75,Terawatt hours (TWh)
Commercial,2013,133.62,Terawatt hours (TWh)
Commercial,2014,138.78,Terawatt hours (TWh)
Commercial,2015,139.33,Terawatt hours (TWh)
Commercial,2016,138.45,Terawatt hours (TWh)
Commercial,2017,145.82,Terawatt hours (TWh)
Commercial,2018,151.23,Terawatt hours (TWh)
Commercial,2019,150.76,Terawatt hours (TWh)
Commercial,2020,144.84,Terawatt hours (TWh)
Commercial,2021,146.26,Terawatt hours (TWh)
Commercial,2022,155.06,Terawatt hours (TWh)
Commercial,2023,159.01,Terawatt hours (TWh)
Commercial,2024,161.84,Terawatt hours (TWh)
Commercial,2025,164.42,Terawatt hours (TWh)
Commercial,2026,167.40,Terawatt hours (TWh)
Commercial,2027,170.82,Terawatt hours (TWh)
Commercial,2028,174.04,Terawatt hours (TWh)
Commercial,2029,177.28,Terawatt hours (TWh)
Commercial,2030,180.20,Terawatt hours (TWh)
Commercial,2031,183.39,Terawatt hours (TWh)
Commercial,2032,186.94,Terawatt hours (TWh)
Commercial,2033,190.58,Terawatt hours (TWh)
Commercial,2034,194.29,Terawatt hours (TWh)
Commercial,2035,197.96,Terawatt hours (TWh)
Commercial,2036,201.52,Terawatt hours (TWh)
Commercial,2037,204.85,Terawatt hours (TWh)
Commercial,2038,207.95,Terawatt hours (TWh)
Commercial,2039,210.87,Terawatt hours (TWh)
Commercial,2040,213.66,Terawatt hours (TWh)
Commercial,2041,216.28,Terawatt hours (TWh)
Commercial,2042,218.65,Terawatt hours (TWh)
Commercial,2043,220.89,Terawatt hours (TWh)
Commercial,2044,222.94,Terawatt hours (TWh)
Commercial,2045,224.94,Terawatt hours (TWh)
Commercial,2046,226.88,Terawatt hours (TWh)
Commercial,2047,228.78,Terawatt hours (TWh)
Commercial,2048,230.64,Terawatt hours (TWh)
Commercial,2049,232.35,Terawatt hours (TWh)
Commercial,2050,233.91,Terawatt hours (TWh)
Industrial,2010,224.42,Terawatt hours (TWh)
Industrial,2011,226.45,Terawatt hours (TWh)
