,,Scenario,Region,Variable,Type,Year, electricity-generation-2023 ,electricity-capacity-2023
1,AlbertaCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2020," 1,784.73 ",285.65
2,AlbertaCurrent MeasuresBiomass / Geothermal2020,Current Measures,Alberta,Biomass / Geothermal,Primary Fuel,2020," 1,784.73 ",285.65
3,AlbertaGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2020," 1,784.73 ",285.65
4,AlbertaCanada Net-zeroCoal & Coke2020,Canada Net-zero,Alberta,Coal & Coke,Primary Fuel,2020," 28,140.71 ",4719
5,AlbertaCurrent MeasuresCoal & Coke2020,Current Measures,Alberta,Coal & Coke,Primary Fuel,2020," 28,140.71 ",4719
6,AlbertaGlobal Net-zeroCoal & Coke2020,Global Net-zero,Alberta,Coal & Coke,Primary Fuel,2020," 28,140.71 ",4719
7,AlbertaCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2020," 2,431.07 ",894.35
8,AlbertaCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Alberta,Hydro / Wave / Tidal,Primary Fuel,2020," 2,431.07 ",894.35
9,AlbertaGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2020," 2,431.07 ",894.35
10,AlbertaCanada Net-zeroNatural Gas2020,Canada Net-zero,Alberta,Natural Gas,Primary Fuel,2020," 41,400.15 ",9566.48
11,AlbertaCurrent MeasuresNatural Gas2020,Current Measures,Alberta,Natural Gas,Primary Fuel,2020," 41,400.15 ",9566.48
12,AlbertaGlobal Net-zeroNatural Gas2020,Global Net-zero,Alberta,Natural Gas,Primary Fuel,2020," 41,400.15 ",9566.48
13,AlbertaCanada Net-zeroOil2020,Canada Net-zero,Alberta,Oil,Primary Fuel,2020, 15.66 ,7.15
14,AlbertaCurrent MeasuresOil2020,Current Measures,Alberta,Oil,Primary Fuel,2020, 15.66 ,7.15
15,AlbertaGlobal Net-zeroOil2020,Global Net-zero,Alberta,Oil,Primary Fuel,2020, 15.66 ,7.15
16,AlbertaCanada Net-zeroSolar2020,Canada Net-zero,Alberta,Solar,Primary Fuel,2020, 178.12 ,71
17,AlbertaCurrent MeasuresSolar2020,Current Measures,Alberta,Solar,Primary Fuel,2020, 178.12 ,71
18,AlbertaGlobal Net-zeroSolar2020,Global Net-zero,Alberta,Solar,Primary Fuel,2020, 178.12 ,71
19,AlbertaCanada Net-zeroUranium2020,Canada Net-zero,Alberta,Uranium,Primary Fuel,2020, -   ,0
20,AlbertaGlobal Net-zeroUranium2020,Global Net-zero,Alberta,Uranium,Primary Fuel,2020, -   ,0
21,AlbertaCanada Net-zeroWind2020,Canada Net-zero,Alberta,Wind,Primary Fuel,2020," 5,452.61 ",1528.56
22,AlbertaCurrent MeasuresWind2020,Current Measures,Alberta,Wind,Primary Fuel,2020," 5,452.61 ",1528.56
